"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group","ensembl_gene_id","Gene_name"
"ENSG00000047597.7",117.513,1.145,0.627,1.826,0.068,0.918,"insig","ENSG00000047597","XK"
"ENSG00000047621.12",565.786,0.262,0.185,1.42,0.156,0.997,"insig","ENSG00000047621","C12orf4"
"ENSG00000047634.15",732.167,-0.433,0.484,-0.895,0.371,1,"insig","ENSG00000047634","SCML1"
"ENSG00000047648.23",141.151,0.191,0.338,0.566,0.571,1,"insig","ENSG00000047648","ARHGAP6"
"ENSG00000047662.5",16.599,0.204,0.351,0.581,0.562,1,"insig","ENSG00000047662","FAM184B"
"ENSG00000047932.14",989.219,-0.338,0.222,-1.523,0.128,0.976,"insig","ENSG00000047932","GOPC"
"ENSG00000047936.11",5.65,0.344,0.838,0.41,0.681,1,"insig","ENSG00000047936","ROS1"
"ENSG00000048140.18",2427.779,-0.028,0.259,-0.109,0.914,1,"insig","ENSG00000048140","TSPAN17"
"ENSG00000048462.11",18.344,-0.132,0.827,-0.159,0.873,1,"insig","ENSG00000048462","TNFRSF17"
"ENSG00000048471.14",809.266,0.302,0.297,1.016,0.309,1,"insig","ENSG00000048471","SNX29"
"ENSG00000048544.6",1784.454,-0.072,0.189,-0.378,0.706,1,"insig","ENSG00000048544","MRPS10"
"ENSG00000048707.15",1942.333,-0.184,0.218,-0.842,0.4,1,"insig","ENSG00000048707","VPS13D"
"ENSG00000049089.15",1277.036,1.38,0.722,1.911,0.056,0.87,"insig","ENSG00000049089","COL9A2"
"ENSG00000049130.16",389.384,-0.832,0.455,-1.83,0.067,0.917,"insig","ENSG00000049130","KITLG"
"ENSG00000049192.15",88.885,-0.531,0.41,-1.297,0.195,1,"insig","ENSG00000049192","ADAMTS6"
"ENSG00000049239.13",4832.5,-0.451,0.395,-1.142,0.254,1,"insig","ENSG00000049239","H6PD"
"ENSG00000049245.13",2639.006,-0.311,0.219,-1.421,0.155,0.997,"insig","ENSG00000049245","VAMP3"
"ENSG00000049247.14",5.729,-0.216,1.063,-0.204,0.839,1,"insig","ENSG00000049247","UTS2"
"ENSG00000049323.16",2690.638,-0.574,0.431,-1.331,0.183,1,"insig","ENSG00000049323","LTBP1"
"ENSG00000049449.10",2350.194,-0.263,0.267,-0.983,0.326,1,"insig","ENSG00000049449","RCN1"
"ENSG00000049541.11",1390.955,-0.093,0.218,-0.429,0.668,1,"insig","ENSG00000049541","RFC2"
"ENSG00000049656.14",6355.076,-0.402,0.246,-1.633,0.102,0.945,"insig","ENSG00000049656","CLPTM1L"
"ENSG00000049769.14",230.812,0.116,0.303,0.384,0.701,1,"insig","ENSG00000049769","PPP1R3F"
"ENSG00000049860.14",4737.317,0.379,0.222,1.706,0.088,0.945,"insig","ENSG00000049860","HEXB"
"ENSG00000049883.15",383.492,0.217,0.151,1.432,0.152,0.997,"insig","ENSG00000049883","PTCD2"
"ENSG00000050030.16",14.782,0.491,0.805,0.61,0.542,1,"insig","ENSG00000050030","NEXMIF"
